Designator,Mid X,Mid Y,Layer,Rotation
"B1","-0.0763mm","0mm","Bottom",0
"C1","1.6049mm","-1.9223mm","Top",90
"C2","4.8016mm","-3.8364mm","Top",0
"C3","4.8204mm","-4.9459mm","Top",0
"C4","15.1953mm","2.7294mm","Top",0
"C5","19.5mm","-0.45mm","Top",90
"C6","10.944mm","-1.9048mm","Top",270
"C7","-27.25mm","7.85mm","Top",90
"C8","-28.22mm","7.85mm","Top",90
"C9","15.2241mm","-3.3316mm","Top",270
"C10","24.6227mm","0.4481mm","Top",270
"IC1","5.7947mm","-0.373mm","Top",0
"J1","-3mm","5.9667mm","Top",180
"J2","21.5mm","4.8273mm","Top",180
"J3","-33.2417mm","6.4mm","Top",90
"J4","21.5mm","-6.625mm","Top",180
"J5","-3mm","-5.9667mm","Top",0
"L1","-27.75mm","6.35mm","Top",180
"R3","30.4825mm","4.9507mm","Top",0
"R4","30.5174mm","7.2291mm","Top",0
"R5","10.0339mm","3.4973mm","Top",0
"R6","13.3767mm","-3.3275mm","Top",270
"SW1","10.3333mm","-8.2411mm","Top",0
"SW4","11.5mm","7.75mm","Top",0
"U1","-16.5mm","0mm","Top",180
"U2","14.4mm","0mm","Top",0
"U3","-32.5359mm","-6.7953mm","Top",0
"U5","21.725mm","0mm","Top",0
